# dataset for example sheet 1 problem 3
#
# 39 Quasars
# x_i = log Bolometric/Eddington Luminosity
# s_x = sigma_x, std.dev uncertainty on x_i
# y_i = X-ray spectral slope
# s_y = sigma_y, std.dev uncertainty on y_i
#
# x_i    s_x     y_i     s_y
# ----------------------------
-1.764 	 0.500 	 1.088 	 0.300 
-1.641 	 0.500 	 1.636 	 0.300 
-0.909 	 0.500 	 1.567 	 0.300 
-1.157 	 0.500 	 1.329 	 0.300 
-0.928 	 0.500 	 1.563 	 0.300 
-1.708 	 0.500 	 1.684 	 0.300 
-0.476 	 0.500 	 2.345 	 0.300 
-0.849 	 0.500 	 2.477 	 0.300 
-1.109 	 0.500 	 2.501 	 0.300 
-1.092 	 0.500 	 2.248 	 0.300 
-0.605 	 0.500 	 3.126 	 0.300 
-1.731 	 0.500 	 2.582 	 0.300 
-0.930 	 0.500 	 2.683 	 0.300 
-1.463 	 0.500 	 3.174 	 0.300 
-2.271 	 0.500 	 2.394 	 0.300 
-1.808 	 0.500 	 1.632 	 0.300 
-0.494 	 0.500 	 3.596 	 0.300 
-1.111 	 0.500 	 2.259 	 0.300 
-2.079 	 0.500 	 1.591 	 0.300 
-0.531 	 0.500 	 3.342 	 0.300 
-1.977 	 0.500 	 1.398 	 0.300 
-0.592 	 0.500 	 2.083 	 0.300 
0.101 	 0.500 	 3.045 	 0.300 
-1.803 	 0.500 	 1.224 	 0.300 
-0.439 	 0.500 	 3.340 	 0.300 
-0.460 	 0.500 	 2.960 	 0.300 
-1.718 	 0.500 	 2.265 	 0.300 
-0.149 	 0.500 	 2.508 	 0.300 
-0.442 	 0.500 	 2.758 	 0.300 
-0.749 	 0.500 	 0.626 	 0.300 
-2.312 	 0.500 	 0.985 	 0.300 
-1.980 	 0.500 	 1.886 	 0.300 
-0.560 	 0.500 	 2.048 	 0.300 
-0.653 	 0.500 	 2.692 	 0.300 
-0.907 	 0.500 	 3.151 	 0.300 
-1.863 	 0.500 	 2.325 	 0.300 
0.084 	 0.500 	 1.938 	 0.300 
-2.999 	 0.500 	 2.074 	 0.300 
-1.635 	 0.500 	 1.869 	 0.300 
