# a sample of 46 Type Ia SN
#
# z = redshift
# m_hats = measured magnitude
# sigma_ms = std.dev of magnitude measurement error
# mu_hats = estimated distance modulus
# sigma_mus = std.dev uncertainty of mu_hats estimate
#
# z      m_hats    sigma_ms  mu_hats    sigma_mus
#----------------------------------------------------
0.011 	 15.558 	 0.052 	 33.323 	 0.095
0.013 	 15.732 	 0.045 	 33.567 	 0.086
0.013 	 15.640 	 0.048 	 33.794 	 0.082
0.014 	 15.952 	 0.054 	 33.896 	 0.075
0.015 	 15.879 	 0.056 	 33.940 	 0.075
0.015 	 15.974 	 0.062 	 34.118 	 0.072
0.015 	 16.098 	 0.055 	 34.070 	 0.071
0.015 	 16.006 	 0.056 	 34.042 	 0.071
0.017 	 16.218 	 0.063 	 34.260 	 0.066
0.017 	 16.246 	 0.059 	 34.377 	 0.064
0.018 	 16.054 	 0.058 	 34.343 	 0.060
0.019 	 16.429 	 0.063 	 34.564 	 0.057
0.020 	 16.705 	 0.064 	 34.559 	 0.054
0.020 	 16.439 	 0.071 	 34.552 	 0.054
0.021 	 16.478 	 0.070 	 34.665 	 0.052
0.021 	 16.756 	 0.073 	 34.752 	 0.051
0.023 	 16.903 	 0.070 	 34.789 	 0.048
0.024 	 17.215 	 0.086 	 34.959 	 0.045
0.026 	 17.049 	 0.078 	 35.130 	 0.043
0.026 	 17.303 	 0.074 	 35.236 	 0.041
0.028 	 17.490 	 0.074 	 35.341 	 0.039
0.029 	 17.478 	 0.083 	 35.391 	 0.038
0.030 	 17.410 	 0.084 	 35.508 	 0.036
0.031 	 17.516 	 0.079 	 35.542 	 0.036
0.032 	 17.709 	 0.086 	 35.708 	 0.034
0.033 	 17.630 	 0.082 	 35.751 	 0.033
0.034 	 17.714 	 0.095 	 35.731 	 0.032
0.035 	 17.721 	 0.104 	 35.868 	 0.031
0.035 	 17.800 	 0.098 	 35.806 	 0.031
0.036 	 17.741 	 0.093 	 35.863 	 0.031
0.038 	 17.939 	 0.105 	 35.987 	 0.029
0.039 	 17.940 	 0.102 	 36.063 	 0.028
0.040 	 17.918 	 0.091 	 36.052 	 0.027
0.040 	 18.186 	 0.102 	 36.120 	 0.027
0.040 	 18.095 	 0.103 	 36.119 	 0.027
0.041 	 18.189 	 0.106 	 36.147 	 0.027
0.041 	 17.897 	 0.103 	 36.131 	 0.027
0.041 	 18.113 	 0.110 	 36.149 	 0.027
0.041 	 18.178 	 0.098 	 36.136 	 0.026
0.044 	 18.213 	 0.122 	 36.311 	 0.025
0.046 	 18.036 	 0.120 	 36.404 	 0.023
0.047 	 18.591 	 0.114 	 36.471 	 0.023
0.048 	 18.429 	 0.118 	 36.516 	 0.023
0.049 	 18.700 	 0.114 	 36.559 	 0.022
0.049 	 18.673 	 0.114 	 36.528 	 0.022
0.050 	 18.532 	 0.120 	 36.598 	 0.022
